,human,mouse,zebrafish,drosophila,c.elegans,ciliate,yeast,methanocaldococcus,thermococcus,e.coli,tuberculosis
H2A,2.07e-89,3.8e-89,5.78e-82,2.89e-68,9.21e-66,2.97e-57,1.82e-63,0.000491,0.003,1.3,0.45
H2B,2.78e-88,1.95e-88,1.86e-83,2.75e-60,5.98e-66,4.62e-51,1.01e-60,1.7,1.2,1.6,2.3
H3,2.19e-96,1.54e-96,1.77e-95,9.39e-96,4.46e-94,8.41e-86,3.31e-87,0.034,0.057,0.9,4.6
H4,1.09e-67,7.6e-68,1.13e-68,8.02e-68,6.15e-68,1.96e-45,1.08e-52,8.22e-05,3.31e-05,1.3,0.069
CENPC,1e-300,1e-300,0.000293,4.3,0.017,1.3,0.068,3.9,5.3,0.36,0.44
